date,open,high,low,close,volume,Daily percent change
5/24/2011,36.2879,36.5004,35.9947,36.09,6230400,-0.005483513
5/25/2011,35.9654,36.2879,35.8701,36.1779,5864500,0.005873752
5/26/2011,36.0313,36.3172,35.9067,36.2146,6416600,0.005061495
5/27/2011,36.134,36.3685,36.1046,36.1853,2940700,0.001417703
5/31/2011,36.3538,36.4784,36.134,36.3025,5666600,-0.001413126
6/1/2011,36.3612,36.3758,35.5696,35.5916,8454600,-0.02162308
6/2/2011,35.7162,35.7528,34.9759,35.1445,9610000,-0.016267126
6/3/2011,34.9173,35.1591,34.6901,34.7414,6389700,-0.005063124
6/6/2011,34.6827,34.866,34.4262,34.712,6071700,0.000844088
6/7/2011,34.7853,35.1518,34.4482,34.4922,6715000,-0.008497573
6/8/2011,34.4922,34.4995,34.0964,34.3456,7939200,-0.004268378
6/9/2011,34.4409,34.8147,34.155,34.5655,6177900,0.00360475
6/10/2011,34.5508,34.5508,34.089,34.2283,6467800,-0.009422028
6/13/2011,34.2503,34.3529,33.8252,34.0304,5930000,-0.006461869
6/14/2011,34.3016,34.8073,34.2943,34.6607,7024100,0.010360437
6/15/2011,34.4702,34.4922,34.0524,34.2356,5503700,-0.006852516
6/16/2011,34.2136,34.4262,33.8985,34.0451,5612100,-0.004949317
6/17/2011,34.265,34.6461,34.0744,34.1037,9075600,-0.004729692
6/20/2011,34.0744,34.6901,34.0084,34.6241,5650000,0.015876225
6/21/2011,34.7047,35.0199,34.5581,34.9466,4958800,0.00692199
6/22/2011,34.6974,34.866,34.2503,34.3163,5489700,-0.01110551
6/23/2011,34.155,34.9246,34.0451,34.9099,7581800,0.021624238
6/24/2011,34.8366,34.9099,33.9498,33.9571,12521200,-0.025900327
6/27/2011,33.6639,34.111,33.4587,34.0524,8301100,0.011408887
6/28/2011,34.2503,34.6754,34.0671,34.221,6258200,-0.000856199
6/29/2011,34.4115,34.4922,34.0671,34.0744,5648200,-0.009893058
6/30/2011,34.2063,34.3822,34.0964,34.3822,7011500,0.005116019
7/1/2011,34.4848,35.1591,34.3309,35.1298,5428200,0.01836048
7/5/2011,35.1518,35.2178,34.778,34.8513,5600500,-0.008622347
7/6/2011,34.8733,35.7455,34.8733,35.5036,6942600,0.017753129
7/7/2011,37.959,38.2082,37.6218,37.871,22113000,-0.002323678
7/8/2011,37.3799,37.7024,37.292,37.4826,9819200,0.002739938
7/11/2011,37.1454,37.5265,37.0208,37.1527,4802800,0.000196486
7/12/2011,37.1967,37.7171,37.1967,37.336,5827000,0.003730984
7/13/2011,37.5778,37.6072,37.204,37.2553,6394300,-0.008656486
7/14/2011,37.2553,37.4532,37.1527,37.226,7170300,-0.000787084
7/15/2011,37.3286,37.4679,36.9329,37.4459,8227300,0.003132519
7/18/2011,37.314,37.3799,36.9035,37.0794,5829100,-0.006326963
