date,open,high,low,close,volume
2/2/2021,19.773,19.7914,18.8019,19.101,44799657
2/3/2021,19.0366,19.6165,19.0274,19.5797,25397880
2/4/2021,19.4785,19.5521,19.1195,19.322,26696199
2/5/2021,19.3312,19.4784,19.055,19.1563,29838322
2/8/2021,19.5153,20.4542,19.4877,20.2793,35263557
2/9/2021,19.9479,20.1504,19.5935,20.0032,19107502
2/10/2021,19.6257,19.9709,19.4739,19.8651,17631833
2/11/2021,19.6442,19.7639,19.5199,19.6718,10921789
2/12/2021,19.5521,20.2057,19.4877,20.1689,12041542
2/16/2021,21.2551,21.4484,21.071,21.3379,18109143
2/17/2021,21.4392,21.7154,21.0894,21.7061,17500806
2/18/2021,21.3385,21.4785,20.9418,20.9651,13302472
2/19/2021,21.0585,21.4482,21.0305,21.3478,12249009
2/22/2021,21.3758,22.3186,21.3385,22.0572,16221835
2/23/2021,22.4773,22.7013,21.7772,22.6173,21278249
2/24/2021,23,23.7468,22.888,23.6161,21410613
2/25/2021,24.1948,24.3909,23.5881,23.8868,28554830
2/26/2021,23.112,23.1914,22.5706,22.7853,22957631
3/1/2021,23.168,23.4183,22.8507,22.944,12151565
3/2/2021,22.9814,23.4107,22.9533,23.1214,10607879
3/3/2021,23.2987,24.2462,23.2987,23.8775,20398980
3/4/2021,24.0828,24.7176,23.8401,24.2975,21161019
3/5/2021,25.0443,25.2963,24.5775,24.9883,21146723
3/8/2021,24.5775,24.9304,24.2322,24.7736,14704232
3/9/2021,24.5682,24.6802,24.2462,24.3722,12210783
3/10/2021,24.4282,24.8856,24.3348,24.8762,12248918
3/11/2021,24.9509,25.1936,24.7362,24.8762,9812123
3/12/2021,24.9696,25.2309,24.9416,25.1656,8767931
3/15/2021,24.9229,25.0513,24.4655,24.7269,13037586
3/16/2021,24.3815,24.4235,23.9801,24.3442,10578798
3/17/2021,24.2228,24.7689,24.2228,24.7082,9732135
3/18/2021,24.5402,24.6896,23.6534,23.7188,12056469
3/19/2021,23.6908,24.0968,23.4014,23.7468,10838951
3/22/2021,23.7654,23.9241,23.6161,23.6628,11555533
3/23/2021,22.888,23.1587,22.44,22.4586,16823243
3/24/2021,22.7947,23.3827,22.7947,23.1027,19083971
3/25/2021,22.5986,22.9627,22.2953,22.9347,13693466
3/26/2021,23.4761,23.5601,23.2838,23.5508,13086126
3/29/2021,23.2707,23.5974,23.168,23.5041,11008115
3/30/2021,23.1867,23.3547,23.056,23.224,7096261
3/31/2021,22.972,23.0374,22.692,22.7293,10276873
4/1/2021,22.8413,22.9692,22.496,22.944,14536424
4/5/2021,22.944,23.0607,22.4913,22.6453,19627439
4/6/2021,23.2334,23.8308,23.154,23.4294,24350494
4/7/2021,23.5227,23.8635,23.4761,23.6814,15511127
4/8/2021,23.2801,23.2801,22.8507,23.0747,19210404
4/9/2021,22.944,23.1214,22.7013,22.7667,14599050
4/12/2021,23.028,23.2707,22.8507,22.9814,20535730
4/13/2021,23.056,23.1494,22.9067,22.9814,15818231
4/14/2021,23.2801,24.0548,23.2427,23.8401,22870185
4/15/2021,23.6628,23.7468,23.4294,23.5227,12972751
4/16/2021,23.6908,23.7654,23.3764,23.5041,10703759
4/19/2021,23.7654,23.9195,23.5087,23.6254,10963407
4/20/2021,23.4761,23.4772,22.7713,23.1307,19401634
4/21/2021,22.9347,23.3454,22.86,23.2987,14760937
4/22/2021,23.084,23.1307,22.6962,22.72,14857303
4/23/2021,22.7293,22.916,22.6126,22.888,12323681
4/26/2021,23.028,23.2987,23.0094,23.2614,14838957
4/27/2021,23.4667,23.6254,23.084,23.2801,16547440
4/28/2021,23.6161,24.0175,23.6068,23.9335,18844884
4/29/2021,24.1108,24.2228,23.6161,23.8028,11638426
4/30/2021,23.7561,23.9148,23.4854,23.4854,8496315
5/3/2021,23.7748,24.0128,23.6348,23.9801,8032695
5/4/2021,24.2695,24.4002,23.9521,24.1948,13918064
5/5/2021,24.4842,24.9976,24.7502,24.9976,12087458
5/6/2021,24.8319,25.0545,24.4824,25.0303,11438352
5/7/2021,24.5863,25.2664,24.4919,25.2475,11709839
5/10/2021,25.4931,25.6914,25.12,25.1436,11701274
5/11/2021,24.6336,24.983,24.4971,24.5297,14514126
5/12/2021,24.8886,25.3703,24.6524,24.7375,13946339
5/13/2021,24.4541,24.8083,24.1425,24.4541,13307923
5/14/2021,24.8508,25.2475,24.8414,25.1719,15696612
5/17/2021,25.0114,25.5781,25.0114,25.5781,11412454
5/18/2021,25.8331,25.9485,25.2475,25.3703,17885188
5/19/2021,24.9169,25.018,24.5626,24.728,15990481
5/20/2021,24.8886,25.0964,24.728,25.0491,12516080
5/21/2021,25.1625,25.3231,25.0019,25.0491,9387261
5/24/2021,25.2097,25.5781,25.0303,25.5214,11068729
5/25/2021,25.3703,25.4034,24.7847,24.8225,12529622
5/26/2021,24.8602,24.9925,24.7469,24.8508,9425681
5/27/2021,24.5958,24.8319,24.5769,24.8225,18658463
5/28/2021,24.6808,24.8791,24.6241,24.7752,15650697
6/1/2021,25.2853,25.5781,25.2664,25.5214,19028268
6/2/2021,25.6442,26.1732,25.4459,26.0976,19360140
6/3/2021,25.8615,26.3337,25.7926,26.2204,13468193
6/4/2021,26.0881,26.1921,25.682,25.9181,13344788
6/7/2021,25.9087,26.022,25.7198,25.7481,9081415
6/8/2021,25.5686,26.3432,25.4459,26.192,16471688
6/9/2021,26.2393,26.3809,26.0409,26.0598,11864235
6/10/2021,26.3526,26.5085,25.8615,25.9842,8176929
6/11/2021,26.192,26.3809,25.9532,26.0126,9102114
6/14/2021,26.3337,26.9099,26.3148,26.4848,12353356
6/15/2021,26.3998,26.891,26.3998,26.806,10113247
6/16/2021,26.721,26.7493,26.2393,26.3809,9185264
6/17/2021,26.2676,26.3809,25.342,25.6725,13047416
6/18/2021,24.8508,25.1625,24.6336,24.6524,15706890
6/21/2021,24.898,25.4742,24.898,25.4459,10671321
6/22/2021,25.6064,25.767,25.3608,25.6442,6979995
6/23/2021,26.1543,26.2959,25.6769,25.7198,9441047
6/24/2021,25.8048,25.8803,25.6442,25.8048,9265901
6/25/2021,25.9559,26.0381,25.7576,25.8048,7335642
6/28/2021,25.4647,25.4836,24.9075,24.9925,13481585
6/29/2021,25.0775,25.2193,24.813,24.813,7182177
6/30/2021,24.8414,25.1152,24.8177,24.9547,6728224
7/1/2021,25.6159,25.715,25.3892,25.5781,9506988
7/2/2021,25.4647,25.5486,25.2323,25.4836,5748769
7/6/2021,25.4081,25.4222,24.303,24.5297,17903874
