symbol,name,currency,stockExchange,exchangeShortName
SOLVEUSD,SOLVE USD,USD,CCC,CRYPTO
UTKUSD,Utrust USD,USD,CCC,CRYPTO
SCPUSD,ScPrime USD,USD,CCC,CRYPTO
CAKEUSD,PancakeSwap USD,USD,CCC,CRYPTO
GHSTUSD,Aavegotchi USD,USD,CCC,CRYPTO
COLXUSD,ColossusXT USD,USD,CCC,CRYPTO
DPRUSD,Deeper Network USD,USD,CCC,CRYPTO
GRSUSD,Groestlcoin USD,USD,CCC,CRYPTO
CFGUSD,Centrifuge USD,USD,CCC,CRYPTO
FTXUSD,FintruXNetwork USD,USD,CCC,CRYPTO
JSTUSD,JUST USD,USD,CCC,CRYPTO
BEAMUSD,Beam USD,USD,CCC,CRYPTO
RVNUSD,Ravencoin USD,USD,CCC,CRYPTO
ANKRUSD,Ankr USD,USD,CCC,CRYPTO
CRUUSD,Crust USD,USD,CCC,CRYPTO
QNTUSD,Quant USD,USD,CCC,CRYPTO
PAIUSD,ProjectPai USD,USD,CCC,CRYPTO
PIUSD,PCHAIN USD,USD,CCC,CRYPTO
CCXXUSD,CounosX USD,USD,CCC,CRYPTO
BOSONUSD,Boson Protocol USD,USD,CCC,CRYPTO
LBCUSD,LBRYCredits USD,USD,CCC,CRYPTO
LTOUSD,LTO Network USD,USD,CCC,CRYPTO
NMRUSD,Numeraire USD,USD,CCC,CRYPTO
BLCTUSD,Bloomzed Loyalty Club Ticket USD,USD,CCC,CRYPTO
MIDASUSD,Midas USD,USD,CCC,CRYPTO
DCYUSD,Dinastycoin USD,USD,CCC,CRYPTO
IQUSD,Everipedia USD,USD,CCC,CRYPTO
JDCUSD,JDCoin USD,USD,CCC,CRYPTO
DFIUSD,DeFiChain USD,USD,CCC,CRYPTO
CKBUSD,NervosNetwork USD,USD,CCC,CRYPTO
TUBEUSD,BitTube USD,USD,CCC,CRYPTO
SBDUSD,SteemDollars USD,USD,CCC,CRYPTO
BSVUSD,BitcoinSV USD,USD,CCC,CRYPTO
ERKUSD,EurekaCoin USD,USD,CCC,CRYPTO
BTC2USD,Bitcoin2 USD,USD,CCC,CRYPTO
CRWUSD,Crown USD,USD,CCC,CRYPTO
OTOUSD,OTOCASH USD,USD,CCC,CRYPTO
DMDUSD,Diamond USD,USD,CCC,CRYPTO
BORUSD,BoringDAO USD,USD,CCC,CRYPTO
WAXPUSD,WAX USD,USD,CCC,CRYPTO
FLASHUSD,Flash USD,USD,CCC,CRYPTO
CUDOSUSD,Cudos USD,USD,CCC,CRYPTO
HTDFUSD,OrientWalt USD,USD,CCC,CRYPTO
ATAUSD,Automata Network USD,USD,CCC,CRYPTO
GRCUSD,GridCoin USD,USD,CCC,CRYPTO
SHIBUSD,SHIBA INU USD,USD,CCC,CRYPTO
KSMUSD,Kusama USD,USD,CCC,CRYPTO
AMBUSD,Ambrosus USD,USD,CCC,CRYPTO
RAYUSD,Raydium USD,USD,CCC,CRYPTO
SNLUSD,Sport and Leisure USD,USD,CCC,CRYPTO
THETAUSD,THETA USD,USD,CCC,CRYPTO
VIAUSD,Viacoin USD,USD,CCC,CRYPTO
DTEPUSD,DECOIN USD,USD,CCC,CRYPTO
EWTUSD,EnergyWebToken USD,USD,CCC,CRYPTO
FTCUSD,Feathercoin USD,USD,CCC,CRYPTO
DUNUSD,DuneNetwork USD,USD,CCC,CRYPTO
USNBTUSD,NuBits USD,USD,CCC,CRYPTO
UQCUSD,Uquid Coin USD,USD,CCC,CRYPTO
BDXUSD,Beldex USD,USD,CCC,CRYPTO
KDAUSD,Kadena USD,USD,CCC,CRYPTO
SUSHIUSD,Sushi USD,USD,CCC,CRYPTO
LCXUSD,LCX USD,USD,CCC,CRYPTO
FIROUSD,Firo USD,USD,CCC,CRYPTO
CELRUSD,CelerNetwork USD,USD,CCC,CRYPTO
SPHRUSD,Sphere USD,USD,CCC,CRYPTO
POLISUSD,Polis USD,USD,CCC,CRYPTO
TUSDUSD,TrueUSD USD,USD,CCC,CRYPTO
ARRRUSD,PirateChain USD,USD,CCC,CRYPTO
DDKUSD,DDKoin USD,USD,CCC,CRYPTO
AIBUSD,AdvancedInternetBlocks USD,USD,CCC,CRYPTO
UNOUSD,Unobtanium USD,USD,CCC,CRYPTO
SNXUSD,SynthetixNetworkToken USD,USD,CCC,CRYPTO
XTZUSD,Tezos USD,USD,CCC,CRYPTO
AIONUSD,Aion USD,USD,CCC,CRYPTO
LRGUSD,LargoCoin USD,USD,CCC,CRYPTO
FLOUSD,FLO USD,USD,CCC,CRYPTO
RKNUSD,Rakon USD,USD,CCC,CRYPTO
AAVEUSD,Aave USD,USD,CCC,CRYPTO
ECAUSD,Electra USD,USD,CCC,CRYPTO
AYAUSD,Aryacoin USD,USD,CCC,CRYPTO
NIXUSD,NIX USD,USD,CCC,CRYPTO
NYZOUSD,Nyzo USD,USD,CCC,CRYPTO
YOYOWUSD,YOYOW USD,USD,CCC,CRYPTO
DKAUSD,dKargo USD,USD,CCC,CRYPTO
MHCUSD,MetaHash USD,USD,CCC,CRYPTO
IDNAUSD,Idena USD,USD,CCC,CRYPTO
WABIUSD,Tael USD,USD,CCC,CRYPTO
SOL1USD,Solana USD,USD,CCC,CRYPTO
PMEERUSD,Pmeer USD,USD,CCC,CRYPTO
MIXUSD,MixMarvel USD,USD,CCC,CRYPTO
ACTUSD,Achain USD,USD,CCC,CRYPTO
SUNUSD,Sun (New) USD,USD,CCC,CRYPTO
MANAUSD,Decentraland USD,USD,CCC,CRYPTO
METISUSD,MetisDAO USD,USD,CCC,CRYPTO
WOZXUSD,EFFORCE USD,USD,CCC,CRYPTO
CHESSUSD,ChessCoin USD,USD,CCC,CRYPTO
MASSUSD,Massnet USD,USD,CCC,CRYPTO
SKYUSD,Skycoin USD,USD,CCC,CRYPTO
ELAUSD,Elastos USD,USD,CCC,CRYPTO
SRKUSD,Sparkpoint USD,USD,CCC,CRYPTO
KLVUSD,Klever USD,USD,CCC,CRYPTO
ALIASUSD,Alias USD,USD,CCC,CRYPTO
PROUSD,Propy USD,USD,CCC,CRYPTO
PCXUSD,ChainX USD,USD,CCC,CRYPTO
NKNUSD,NKN USD,USD,CCC,CRYPTO
FILUSD,FilecoinFutures USD,USD,CCC,CRYPTO
RBTCUSD,RSKSmartBitcoin USD,USD,CCC,CRYPTO
BALUSD,Balancer USD,USD,CCC,CRYPTO
SEROUSD,SuperZero USD,USD,CCC,CRYPTO
NANOUSD,Nano USD,USD,CCC,CRYPTO
AXSUSD,AxieInfinity USD,USD,CCC,CRYPTO
DODOUSD,DODO USD,USD,CCC,CRYPTO
MIRUSD,MIRCOIN USD,USD,CCC,CRYPTO
CTXCUSD,Cortex USD,USD,CCC,CRYPTO
GHOSTUSD,GHOSTPRISM USD,USD,CCC,CRYPTO
MATICUSD,MaticNetwork USD,USD,CCC,CRYPTO
WANUSD,Wanchain USD,USD,CCC,CRYPTO
CETUSD,CoinExToken USD,USD,CCC,CRYPTO
TRTLUSD,TurtleCoin USD,USD,CCC,CRYPTO
BTXUSD,Bitcore USD,USD,CCC,CRYPTO
NLGUSD,Gulden USD,USD,CCC,CRYPTO
